priority,url,page_type,primary_keyword,target_city,current_title,current_title_len,recommended_title,recommended_title_len,current_meta,recommended_meta,recommended_meta_len,h1_change,jsonld_to_add,notes
P0,/blown-in-insulation-naples-swfl/,site_page,blown-in insulation Naples FL,Naples,"Insulation Company Naples FL | Spray Foam Batts & Blown in Rockkwool",68,"Blown-In Attic Insulation Naples FL | Cellulose & Rockwool",58,UNKNOWN,"Blown-in attic insulation in Naples, FL — cellulose, fiberglass, or Rockwool. Most jobs done in one day. Free thermal scan. FPL $220 rebate processed on-site.",157,"Blown-In Attic Insulation in Naples, FL",service-blown-in.json,"FIX TYPO 'Rockkwool' immediately. Differentiate from homepage to kill cannibalization."
P0,/ideal-insulation-enterprises-inc-blog,blog_listing,insulation blog Naples,Naples,"Idealinsulationinc",18,"Insulation Blog | Naples & SWFL Tips, Costs & Code Guides",55,UNKNOWN,"Insulation guides for Naples, Fort Myers, and SWFL homeowners — costs, R-values, FPL rebates, hurricane-rated spray foam, and Florida building code. Updated monthly.",163,"Insulation Insights for Southwest Florida",,"This is the blog index — has been wasting Google's most-trusted signal."
P1,/,homepage,insulation contractor Naples FL,Naples,"Insulation Company Naples FL | #1 Contractor Since 2013 | Ideal Insulation",76,"Naples Insulation Contractor | FPL Rebates | Ideal Insulation",61,UNKNOWN,"Spray foam, blown-in & batt insulation across Naples, Fort Myers, Cape Coral & SWFL. FPL Preferred Contractor — instant $220 rebate. Free same-day estimate: (239) 455-2002.",172,"Insulation Contractor Serving Naples & SWFL Since 2013",local-business.json,"Hero must show: tel link, FPL badge, Google Guaranteed badge, lifetime warranty."
P1,/services/spray-foam-insulation-naples-swfl/,site_page,spray foam insulation Naples FL,Naples,"Spray Foam Insulation Naples FL | Save 40% on AC Bills",54,"Spray Foam Insulation Naples FL | Save 40% on AC | FPL Rebate",62,UNKNOWN,"Open & closed-cell spray foam in Naples — cuts AC bills 25–40%, hurricane-rated roof decks, FPL $220 rebate, 30% federal tax credit. Free thermal scan: (239) 455-2002.",171,"Spray Foam Insulation in Naples, FL",service-spray-foam.json + faq-spray-foam.json + breadcrumb,"Title is good — small tweak to add 'FPL Rebate'. Add FAQ schema (paste-ready in jsonld/faq-spray-foam.json)."
P1,/areas-served-swfl,site_page,insulation services SWFL,SWFL,"Areas Served | Insulation Services Across SWFL | Naples, Fort Myers, Cape Coral & More",91,"Insulation Services in Naples, Fort Myers & Cape Coral | SWFL",62,UNKNOWN,"Insulation services across Southwest Florida — Naples, Fort Myers, Cape Coral, Bonita Springs, Estero, Marco Island, Punta Gorda. FPL Preferred Contractor since 2013.",165,"Areas We Serve in Southwest Florida",local-business.json,"Add internal links to all 8 new service-by-city pages once published."
P1,/professional-insulation-removal-naples-fl-emergency-service-ideal-naples-swfl,site_page,insulation removal Naples FL,Naples,"Professional Insulation Removal Naples FL | Emergency Service | Ideal",70,"Insulation Removal Naples FL | Same-Day Service",47,UNKNOWN,"Storm, water, or rodent damage? Same-day insulation removal in Naples & SWFL. HEPA-vacuumed, OSHA-safe. Replacement scoped at the same visit: (239) 455-2002.",159,"Insulation Removal in Naples, FL",service-removal.json + breadcrumb,"301 redirect this URL to /services/insulation-removal-naples after publish. Old slug is keyword-stuffed."
P1,/commercial-insulation-contractors-naples-swfl-energy-efficiency,site_page,commercial insulation Naples FL,Naples,"Commercial Insulation Contractors Naples FL | Energy Efficiency",62,"Commercial Insulation Naples FL | Warehouse, Office, Retail",59,UNKNOWN,"Commercial spray foam, batt, and blown-in insulation across Naples and SWFL. Warehouses, offices, retail, multi-family. Energy code compliance. (239) 455-2002.",159,"Commercial Insulation in Naples & SWFL",,"Consider shortening URL to /services/commercial-insulation-naples and 301."
P1,/insulation-contractor-for-builders-naples-fl-swfl,site_page,builder insulation Naples FL,Naples,"Insulation Contractor for Builders & GCs | Naples, Fort Myers",60,"Builder Insulation Partner — Naples, Fort Myers & SWFL",55,UNKNOWN,"Trusted insulation partner for SWFL builders and GCs since 2013. 9 trucks, 20 installers, on-time scheduling, code-compliant specs. Builder pricing: (239) 455-2002.",163,"Builder & GC Insulation Partnerships",,"Strong B2B page — make sure it has a separate builder-only contact form."
P2,/ideal-insulation-enterprises-inc-blog/florida-building-code-insulation-2026-collier-lee-county,blog_post,Florida insulation code 2026,SWFL,"Florida Building Code Insulation Requirements 2026 — Collier & Lee County Builder Guide",92,"Florida Building Code Insulation 2026 (Collier & Lee County)",60,UNKNOWN,"What the 2026 Florida Building Code requires for insulation R-values, vapor retarders, and air sealing in Collier and Lee County. Builder & GC reference.",157,"Florida Building Code Insulation Requirements 2026",,"Strong content — title was just too long."
P2,/ideal-insulation-enterprises-inc-blog/best-attic-insulation-florida,blog_post,best attic insulation Florida,SWFL,"Best Attic Insulation for Florida Homes (2026) | SWFL Expert Guide",69,"Best Attic Insulation for Florida Homes (2026 SWFL Guide)",57,UNKNOWN,"Spray foam vs. blown-in vs. batt for Florida attics — R-values, costs, FPL rebates, hurricane resilience. Honest 2026 buyer's guide for SWFL homeowners.",157,"Best Attic Insulation for Florida Homes (2026)",,
P2,/ideal-insulation-enterprises-inc-blog/spray-foam-insulation-cape-coral-fl,blog_post,spray foam insulation Cape Coral FL,Cape Coral,"Spray Foam Insulation Cape Coral FL | Canal Home Experts",58,"Spray Foam Insulation Cape Coral FL | Canal Home Specialists",60,UNKNOWN,"Spray foam insulation for Cape Coral canal homes — moisture control, hurricane-rated roof decks, FPL rebate processing. Free estimate: (239) 455-2002.",153,"Spray Foam Insulation in Cape Coral, FL",,"Internal-link to a future /services/spray-foam-insulation-cape-coral page once it exists."
P2,/ideal-insulation-enterprises-inc-blog/attic-insulation-naples-fl,blog_post,attic insulation Naples FL,Naples,"Attic Insulation Naples FL | Cost, Options & FPL Savings Guide",62,"Attic Insulation Naples FL | Costs & FPL Rebate Guide",54,UNKNOWN,"Naples attic insulation costs, options, R-values, and how to claim the FPL $220 rebate. Plus the 30% federal tax credit. Updated 2026.",137,"Attic Insulation in Naples, FL",,
P2,/ideal-insulation-enterprises-inc-blog/attic-insulation-fort-myers-fl,blog_post,attic insulation Fort Myers FL,Fort Myers,"Attic Insulation Fort Myers FL — Spray Foam, Blown-In & Batt Options (2026 Guide)",83,"Attic Insulation Fort Myers FL | Spray Foam vs. Blown-In",58,UNKNOWN,"Spray foam, blown-in, and batt attic insulation options in Fort Myers — costs, R-values, FPL rebate. Free thermal scan in Lee County: (239) 455-2002.",152,"Attic Insulation in Fort Myers, FL",,"Currently #6 in Google for ""attic insulation Fort Myers FL contractor"". A real service page should outrank this blog post."
P2,/ideal-insulation-enterprises-inc-blog/blown-in-insulation-naples-fl,blog_post,blown-in insulation Naples FL,Naples,"Blown-In Insulation in Naples FL: Cost, Benefits, and What Homeowners Actually Need to Know",97,"Blown-In Insulation Naples FL | Costs & Honest Pros/Cons",55,UNKNOWN,"Blown-in cellulose vs. fiberglass vs. Rockwool for Naples attics — real costs, R-values, FPL rebate eligibility. No-fluff homeowner guide.",141,"Blown-In Insulation in Naples, FL",,
P2,/ideal-insulation-enterprises-inc-blog/spray-foam-insulation-boost-roof-efficiency-comfort,blog_post,spray foam roof insulation,SWFL,"Spray Foam Insulation: Boost Roof Efficiency & Comfort",54,"Spray Foam Roof Decks for Florida Homes | Hurricane-Rated",58,UNKNOWN,"Closed-cell spray foam on the roof deck cuts AC bills, blocks moisture, and adds structural rigidity — held up better than batts in Hurricanes Ian and Milton.",159,"Spray Foam Roof Decks for SWFL Homes",,"Lead with the hurricane angle — strongest differentiator."
P2,/ideal-insulation-enterprises-inc-blog/how-much-does-insulation-cost-detailed-guide,blog_post,insulation cost guide,SWFL,"How Much Does Insulation Cost? Detailed Guide",46,"Insulation Cost in Florida (2026) | Spray Foam, Blown-In, Batt",61,UNKNOWN,"Real Florida insulation costs in 2026 — spray foam, blown-in, and batt — by attic size, R-value, and home type. SWFL pricing examples included.",147,"How Much Does Insulation Cost in Florida?",,"Add geo to the title — generic ""insulation cost"" is hopeless to rank globally."
P2,/ideal-insulation-enterprises-inc-blog/is-spray-foam-insulation-worth-it-florida,blog_post,spray foam worth it Florida,SWFL,"Is Spray Foam Insulation Worth It in Florida? 2026 Honest Guide",62,"Is Spray Foam Worth It in Florida? (2026 ROI Guide)",51,UNKNOWN,"Honest ROI math for Florida spray foam — energy savings, payback period, FPL rebate, federal tax credit, hurricane benefits. Updated for 2026.",141,"Is Spray Foam Worth It in Florida?",,
P2,/ideal-insulation-enterprises-inc-blog/spray-foam-naples,blog_post,spray foam insulation Naples,Naples,"The Ultimate Guide to Spray Foam Insulation in Naples, FL",58,"Spray Foam Insulation Naples FL | The Complete Guide",51,UNKNOWN,"Everything Naples homeowners need to know about spray foam — types, costs, FPL rebates, federal tax credit, install process, warranty.",137,"The Complete Guide to Spray Foam Insulation in Naples",,"Internal-link from this blog post to /services/spray-foam-insulation-naples-swfl/ above the fold."
P2,/ideal-insulation-enterprises-inc-blog/signs-naples-home-needs-new-insulation,blog_post,signs need new insulation Naples,Naples,"Signs Your Naples Home Needs New Insulation (And What to Do About It)",69,"Signs Your Naples Home Needs New Insulation",46,UNKNOWN,"Five signs your Naples attic insulation is overdue — high AC bills, uneven rooms, ice-cold cold spots, pests, water stains. Plus what to do.",141,"Signs Your Naples Home Needs New Insulation",,
